Entity	Original count	Found count
Abascia	8	0
Acre	1	1
Aden	14	14
Alania	1	0
Alexandria	2	2
Angaman	2	0
Arabia	3	0
Babylon	1	1
Babylonia	1	0
Bagdad	2	2
Basman	2	0
	20	63
Cail	1	1
Calatu	5	5
Cambaia	1	0
Catai	1	0
Cathay	1	1
Cianba	3	3
Coilon	2	2
Comania	1	1
Comari	2	0
Condur	1	0
Constantinople	1	1
Cormos	5	5
Creman	2	2
Curmos	2	0
Dagroian	1	1
Dufar	3	3
Eli	2	2
Escier	2	2
Fansur	2	2
Female	2	0
Ferlech	2	0
Gavenispola	1	0
Gazaria	1	0
Gihon	2	0
Gozurat	3	3
Great Russia	1	0
Great Sea	1	0
Great Turkey	2	2
Greater Sea	1	0
Gucia	1	0
India	18	21
India the Greater	1	1
Java	3	3
Java the Lesser	1	1
Jerusalem	2	2
Kambalu	1	1
Karakorum	1	1
Kesmacoran	3	3
Kin-sai	2	2
Lac	2	2
Lambri	3	3
Lar	1	1
Levant	1	1
Lochac	2	2
Maabar	9	9
Madagascar	1	1
Malabar	1	1
Malauir	1	0
Male	2	0
Manji	8	8
Melibar	2	2
Mengiar	1	0
Montifi	1	0
Mutfili	1	1
Necuveran	1	1
Nerghi	1	1
Nubia	2	2
Obscurity	1	0
Oroech	1	0
Pentam	3	3
Quis	2	0
Quisci	2	0
Rome	1	1
Russia	5	0
Samara	2	2
Samarcand	1	1
Scotra	3	3
Sea of Sarain	1	1
Seilan	4	4
Semenat	1	1
Soer	1	1
Sondur	1	0
Tana	1	1
The Lesser India	1	0
Venice	2	2
Zai-tun	4	4
Zanghibar	3	3
Zic	1	1
Zin	2	0
Zinaba	1	0
Zipangu	2	0
sea of England	1	0
sea of Rochelle	1	0
the Greater India	1	0
the Middle India	1	0
